xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,subType,scoreDiff,shotPct,clutchFlag
212,142,26,1,1,Jump Shot,3.0,0.364,0
-1,251,25,0,1,Pullup Jump shot,1.0,0.363,0
11,40,4,1,1,Floating Jump shot,4.0,0.52,0
-22,17,3,0,1,Driving Floating Bank Jump Shot,4.0,0.408,0
197,160,25,0,1,Jump Shot,-2.0,0.363,0
-7,5,1,1,1,Layup Shot,-2.0,0.533,0
21,77,8,1,1,Floating Jump shot,0.0,0.609,0
74,33,8,1,1,Turnaround Fadeaway shot,-1.0,0.499,0
131,-8,13,0,1,Step Back Jump shot,-1.0,0.465,0
-6,16,2,1,1,Running Layup Shot,-1.0,0.534,0
132,220,26,1,1,Jump Shot,1.0,0.365,0
-179,173,25,1,1,Step Back Jump shot,-3.0,0.376,0
-121,215,25,1,1,Jump Shot,0.0,0.363,0
2,80,8,1,1,Driving Floating Jump Shot,-3.0,0.499,0
-114,213,24,0,1,Step Back Jump shot,0.0,0.365,0
-186,175,26,0,1,Pullup Jump shot,-2.0,0.363,0
-4,0,0,1,1,Running Layup Shot,2.0,0.533,0
9,6,1,0,1,Running Layup Shot,-1.0,0.411,0
107,231,25,0,1,Running Jump Shot,-1.0,0.351,0
9,-5,1,1,1,Driving Finger Roll Layup Shot,1.0,0.408,0
6,0,1,1,1,Driving Layup Shot,1.0,0.465,0
114,264,29,0,1,Pullup Jump shot,-1.0,0.387,0
191,-10,19,1,1,Jump Shot,-3.0,0.49,0
-9,1,1,1,1,Cutting Layup Shot,3.0,0.473,0
-168,185,25,1,1,Jump Shot,3.0,0.363,0
-216,127,25,0,1,Pullup Jump shot,3.0,0.387,0
-20,-8,2,0,1,Driving Layup Shot,-6.0,0.49,0
-225,15,0,0,1,Pullup Jump shot,6.0,0.414,0
-75,48,9,0,1,Turnaround Hook Shot,-6.0,0.526,0
-23,-1,2,0,1,Driving Floating Jump Shot,6.0,0.5,0
-164,209,27,1,1,Jump Shot,-6.0,0.335,0
110,16,11,0,1,Turnaround Fadeaway shot,6.0,0.526,0
210,147,26,0,1,Jump Shot,9.0,0.396,0
-21,7,2,1,1,Driving Finger Roll Layup Shot,9.0,0.49,0
89,235,25,0,1,Jump Shot,9.0,0.311,0
-12,10,2,1,1,Putback Layup Shot,11.0,0.5,0
191,160,25,0,1,Jump Shot,11.0,0.335,0
12,17,2,1,1,Driving Dunk Shot,9.0,0.526,0
-7,34,3,0,1,Driving Layup Shot,-9.0,0.465,0
-110,18,11,1,1,Fadeaway Jump Shot,-7.0,0.534,0
-17,15,2,1,1,Running Dunk Shot,7.0,0.465,0
-61,75,10,1,1,Turnaround Fadeaway shot,-9.0,0.526,0
69,243,25,0,1,Jump Shot,-10.0,0.393,0
38,25,5,0,1,Cutting Layup Shot,-12.0,0.473,0
5,4,1,1,1,Driving Finger Roll Layup Shot,-13.0,0.49,0
233,3,0,0,1,Jump Shot,13.0,0.396,0
-222,-18,0,0,1,Jump Shot,15.0,0.387,0
10,54,5,0,1,Driving Floating Jump Shot,15.0,0.49,0
2,-5,1,1,1,Cutting Layup Shot,15.0,0.526,0
-136,235,27,1,1,Jump Shot,-15.0,0.428,0
134,428,45,0,1,Pullup Jump shot,13.0,0.387,0
-9,136,14,0,1,Pullup Jump shot,16.0,0.5,0
-224,0,0,0,1,Jump Shot,-17.0,0.396,0
-2,4,0,0,1,Driving Dunk Shot,-18.0,0.465,0
10,38,4,1,1,Running Layup Shot,-18.0,0.534,0
76,-6,8,1,1,Fadeaway Jump Shot,-18.0,0.473,0
-83,125,15,0,1,Pullup Jump shot,-20.0,0.49,0
5,5,1,1,1,Running Layup Shot,18.0,0.469,0
75,110,13,0,1,Driving Floating Jump Shot,-18.0,0.534,0
228,17,0,0,1,Jump Shot,-16.0,0.364,0
23,274,27,0,1,Jump Shot,-16.0,0.311,0
205,151,25,0,1,Jump Shot,16.0,0.387,0
-93,222,24,0,1,Jump Shot,16.0,0.335,0
4,9,1,1,1,Running Layup Shot,-16.0,0.465,0
4,254,25,0,1,Step Back Jump shot,-16.0,0.387,0
89,36,10,1,1,Turnaround Fadeaway shot,-18.0,0.499,0
-1,1,0,1,1,Running Dunk Shot,18.0,0.5,0
47,95,11,0,1,Driving Floating Jump Shot,-20.0,0.49,0
229,3,0,0,1,Jump Shot,-18.0,0.335,0
-230,-12,0,0,1,Jump Shot,18.0,0.335,0
18,71,7,1,1,Hook Shot,18.0,0.526,0
-36,20,4,1,1,Driving Bank Hook Shot,-18.0,0.473,0
82,89,12,0,1,Turnaround Fadeaway shot,-20.0,0.499,0
-2,13,1,1,1,Cutting Finger Roll Layup Shot,-18.0,0.473,0
10,84,8,1,1,Driving Floating Jump Shot,-19.0,0.49,0
-121,231,26,0,1,Jump Shot,17.0,0.393,0
4,29,3,0,1,Driving Layup Shot,-19.0,0.526,0
5,8,1,1,1,Driving Layup Shot,-20.0,0.52,0
6,23,2,1,1,Cutting Layup Shot,-19.0,0.433,0
11,51,5,1,1,Driving Floating Jump Shot,-20.0,0.534,0
229,40,0,0,1,Jump Shot,18.0,0.358,0
-9,6,1,1,1,Driving Layup Shot,-20.0,0.49,0
-223,2,0,1,1,Jump Shot,23.0,0.355,0
-100,222,24,1,1,Pullup Jump shot,-22.0,0.384,0
-202,33,20,0,1,Pullup Jump shot,-25.0,0.465,0
12,5,1,1,1,Running Dunk Shot,-28.0,0.499,0
11,5,1,1,1,Reverse Layup Shot,28.0,0.609,0
70,245,25,1,1,Pullup Jump shot,-30.0,0.355,0
77,-4,8,1,1,Pullup Jump shot,28.0,0.52,0
-192,148,24,0,1,Pullup Jump shot,-31.0,0.364,0
-2,14,1,0,1,Driving Floating Jump Shot,31.0,0.526,0
7,8,1,1,1,Driving Layup Shot,-31.0,0.465,0
-11,6,1,1,1,Layup Shot,-31.0,0.609,0
145,201,25,0,1,Jump Shot,-33.0,0.355,0
-4,-3,1,1,1,Alley Oop Dunk Shot,31.0,0.609,0
227,41,0,0,1,Jump Shot,-31.0,0.364,0
-10,11,1,1,1,Driving Layup Shot,29.0,0.465,0
4,43,4,0,1,Driving Floating Jump Shot,-29.0,0.408,0
-232,14,0,1,1,Jump Shot,-27.0,0.376,0
11,8,1,1,1,Layup Shot,-27.0,0.533,0
-13,27,3,0,1,Running Dunk Shot,30.0,0.454,0
141,216,26,0,1,Running Jump Shot,28.0,0.363,0
-1,26,3,0,1,Driving Hook Shot,-28.0,0.526,0
6,165,17,1,1,Pullup Jump shot,-28.0,0.465,0
-2,21,2,1,1,Driving Layup Shot,-28.0,0.534,0
-20,8,2,1,1,Driving Layup Shot,26.0,0.465,0
-2,255,26,0,1,Jump Shot,-28.0,0.363,0
-109,233,26,0,1,Pullup Jump shot,-25.0,0.365,0
-130,214,25,0,1,Pullup Jump shot,-27.0,0.363,0
-1,25,3,1,1,Driving Floating Jump Shot,-28.0,0.49,0
-17,10,2,1,1,Driving Finger Roll Layup Shot,-30.0,0.433,0
-1,8,1,0,1,Driving Layup Shot,-31.0,0.499,0
-2,13,1,0,1,Putback Layup Shot,-29.0,0.534,0
5,0,1,1,1,Driving Layup Shot,-29.0,0.465,0
137,213,25,1,1,Pullup Jump shot,-29.0,0.384,0
5,17,2,1,1,Layup Shot,27.0,0.533,0
7,5,1,1,1,Cutting Layup Shot,-30.0,0.534,0
-17,16,2,0,1,Driving Layup Shot,28.0,0.433,0
26,248,25,0,1,Step Back Jump shot,30.0,0.363,0
-86,8,9,1,1,Pullup Jump shot,29.0,0.411,0
-40,34,5,1,1,Driving Floating Bank Jump Shot,28.0,0.454,0
11,13,2,1,1,Driving Floating Bank Jump Shot,28.0,0.408,0
27,10,3,0,1,Driving Layup Shot,-29.0,0.365,0
-47,248,25,0,1,Jump Shot,29.0,0.306,0
-39,48,6,1,1,Driving Floating Jump Shot,-29.0,0.454,0
-2,8,1,1,1,Running Layup Shot,-29.0,0.454,0
12,-6,1,1,1,Dunk Shot,27.0,0.634,0
-4,-3,1,1,1,Cutting Layup Shot,25.0,0.364,0
-1,16,2,0,1,Driving Layup Shot,-27.0,0.321,0
23,256,26,0,1,Jump Shot,25.0,0.365,0
40,246,25,0,1,Pullup Jump shot,-24.0,0.379,0
-7,10,1,1,1,Putback Layup Shot,-23.0,0.48,0
-66,26,7,0,1,Turnaround Fadeaway shot,-24.0,0.365,0
186,168,25,1,1,Jump Shot,0.0,0.361,0
-114,243,27,0,1,Jump Shot,0.0,0.387,0
-25,20,3,0,1,Driving Layup Shot,-3.0,0.46,0
162,205,26,0,1,Running Jump Shot,3.0,0.414,0
13,13,2,0,1,Driving Layup Shot,-3.0,0.461,0
-39,109,12,1,1,Pullup Jump shot,3.0,0.469,0
-105,14,11,0,1,Jump Shot,-3.0,0.461,0
-227,93,25,1,1,Jump Shot,-1.0,0.361,0
7,112,11,0,1,Fadeaway Jump Shot,-1.0,0.469,0
-228,14,0,0,1,Running Jump Shot,-4.0,0.339,0
105,239,26,0,1,Jump Shot,3.0,0.361,0
7,13,1,1,1,Cutting Layup Shot,-2.0,0.473,0
-37,279,28,0,1,Jump Shot,-2.0,0.311,0
-129,209,25,0,1,Jump Shot,5.0,0.35,0
12,-2,1,1,1,Layup Shot,6.0,0.696,0
30,134,14,0,1,Turnaround Jump Shot,-6.0,0.526,0
-1,17,2,1,1,Layup Shot,8.0,0.526,0
49,59,8,0,1,Driving Layup Shot,-8.0,0.467,0
232,9,0,0,1,Running Jump Shot,6.0,0.361,0
39,273,28,0,1,Running Jump Shot,6.0,0.393,0
-115,219,25,0,1,Jump Shot,5.0,0.339,0
168,194,26,1,1,Jump Shot,5.0,0.414,0
-27,97,10,1,1,Turnaround Jump Shot,5.0,0.5,0
152,205,26,1,1,Jump Shot,-1.0,0.396,0
-6,3,1,1,1,Driving Dunk Shot,-2.0,0.473,0
94,152,18,0,1,Pullup Jump shot,-3.0,0.526,0
-16,6,2,1,1,Running Reverse Layup Shot,1.0,0.473,0
70,13,7,1,1,Floating Jump shot,-1.0,0.5,0
-10,54,5,1,1,Running Jump Shot,1.0,0.5,0
185,182,26,0,1,Jump Shot,-1.0,0.218,0
-15,9,2,0,1,Layup Shot,3.0,0.408,0
0,0,0,1,1,Putback Layup Shot,-3.0,0.457,0
20,53,6,0,1,Floating Jump shot,3.0,0.467,0
5,-1,1,0,1,Driving Layup Shot,1.0,0.457,0
-227,3,0,0,1,Jump Shot,1.0,0.34,0
-39,179,18,0,1,Jump Shot,1.0,0.5,0
60,203,21,1,1,Jump Shot,1.0,0.462,0
116,150,19,1,1,Pullup Jump shot,0.0,0.439,0
5,18,2,1,1,Driving Finger Roll Layup Shot,-1.0,0.52,0
102,236,26,1,1,Pullup Jump shot,-1.0,0.418,0
-93,239,26,0,1,Jump Shot,-1.0,0.0,0
22,66,7,1,1,Driving Floating Jump Shot,3.0,0.439,0
23,29,4,0,1,Driving Layup Shot,4.0,0.461,0
141,312,34,0,1,Jump Shot,-6.0,0.365,0
188,179,26,1,1,Jump Shot,6.0,0.363,0
-200,147,25,0,1,Jump Shot,6.0,0.418,0
195,161,25,0,1,Jump Shot,-3.0,0.218,0
38,77,9,1,1,Floating Jump shot,3.0,0.46,0
61,16,6,0,1,Driving Layup Shot,-3.0,0.473,0
127,232,26,0,1,Jump Shot,5.0,0.393,0
11,17,2,1,1,Cutting Dunk Shot,-5.0,0.465,0
17,16,2,1,1,Layup Shot,5.0,0.457,0
42,123,13,1,1,Floating Jump shot,3.0,0.473,0
7,16,2,0,1,Running Layup Shot,-5.0,0.46,0
-7,126,13,1,1,Running Pull-Up Jump Shot,3.0,0.52,0
232,17,0,1,1,Jump Shot,-3.0,0.339,0
233,37,24,1,1,Jump Shot,1.0,0.365,0
-13,48,5,0,1,Jump Shot,-4.0,0.439,0
-66,137,15,0,1,Jump Shot,-2.0,0.473,0
-1,6,1,1,1,Running Dunk Shot,-2.0,0.696,0
-131,-8,13,0,1,Jump Shot,-2.0,0.4,0
227,80,24,0,1,Jump Shot,-4.0,0.387,0
11,11,2,1,1,Running Finger Roll Layup Shot,-4.0,0.46,0
4,78,8,0,1,Turnaround Jump Shot,-4.0,0.461,0
157,202,26,0,1,Jump Shot,-6.0,0.387,0
113,233,26,0,1,Jump Shot,6.0,0.387,0
123,41,13,1,1,Fadeaway Jump Shot,-6.0,0.467,0
-59,245,25,0,1,Jump Shot,6.0,0.418,0
58,31,7,0,1,Driving Layup Shot,4.0,0.467,0
-152,26,15,0,1,Step Back Jump shot,-4.0,0.473,0
18,18,3,1,1,Running Layup Shot,4.0,0.469,0
191,234,30,0,1,Jump Shot,-4.0,0.361,0
-22,16,3,0,1,Driving Dunk Shot,2.0,0.5,0
34,62,7,1,1,Driving Layup Shot,-2.0,0.439,0
78,102,13,0,1,Pullup Jump shot,-4.0,0.469,0
16,11,2,1,1,Driving Layup Shot,-5.0,0.461,0
26,1,3,1,1,Layup Shot,5.0,0.526,0
158,204,26,0,1,Jump Shot,-7.0,0.418,0
71,62,9,1,1,Pullup Jump shot,-5.0,0.473,0
0,55,6,1,1,Driving Layup Shot,-6.0,0.467,0
-92,117,15,1,1,Pullup Jump shot,-7.0,0.473,0
216,128,25,0,1,Jump Shot,5.0,0.387,0
12,48,5,0,1,Turnaround Jump Shot,-8.0,0.526,0
-10,8,1,1,1,Alley Oop Dunk Shot,-9.0,0.696,0
233,-6,0,0,1,Jump Shot,9.0,0.393,0
12,49,5,0,1,Driving Layup Shot,-11.0,0.461,0
43,145,15,0,1,Pullup Jump shot,-11.0,0.461,0
-110,128,17,1,1,Step Back Jump shot,-11.0,0.469,0
-105,155,19,0,1,Jump Shot,11.0,0.469,0
140,225,27,1,1,Running Jump Shot,9.0,0.361,0
5,14,1,1,1,Cutting Layup Shot,9.0,0.473,0
-115,227,25,1,1,Jump Shot,10.0,0.361,0
-39,267,27,1,1,Jump Shot,9.0,0.393,0
5,23,2,0,1,Driving Layup Shot,-12.0,0.46,0
-16,106,11,1,1,Pullup Jump shot,-9.0,0.461,0
69,273,28,1,1,Jump Shot,-9.0,0.393,0
15,12,2,1,1,Driving Dunk Shot,-11.0,0.461,0
-18,9,2,1,1,Layup Shot,8.0,0.526,0
-45,50,7,0,1,Floating Jump shot,-10.0,0.4,0
-10,267,27,1,1,Jump Shot,8.0,0.393,0
27,32,4,1,1,Turnaround Hook Shot,-8.0,0.461,0
61,124,14,1,1,Jump Shot,5.0,0.473,0
-48,127,14,1,1,Turnaround Fadeaway shot,-7.0,0.461,0
-7,252,25,0,1,Jump Shot,5.0,0.393,0
82,21,8,1,1,Step Back Jump shot,-7.0,0.461,0
23,27,4,0,1,Layup Shot,7.0,0.526,0
-25,76,8,0,1,Running Jump Shot,-9.0,0.473,0
-38,21,4,1,1,Layup Shot,9.0,0.526,0
-234,58,24,0,1,Jump Shot,-7.0,0.363,0
91,241,26,0,1,Jump Shot,-8.0,0.409,0
-21,10,2,0,1,Layup Shot,-8.0,0.439,0
-1,0,0,1,1,Cutting Dunk Shot,-8.0,0.473,0
36,89,10,0,1,Fadeaway Jump Shot,-8.0,0.439,0
-45,252,26,0,1,Running Jump Shot,6.0,0.393,0
150,209,26,0,1,Pullup Jump shot,-6.0,0.35,0
0,14,1,1,1,Driving Dunk Shot,6.0,0.467,0
-5,8,1,0,1,Running Layup Shot,6.0,0.465,0
18,43,5,1,1,Running Jump Shot,-4.0,0.526,0
223,18,0,0,1,Jump Shot,2.0,0.218,0
-121,226,26,0,1,Jump Shot,-1.0,0.34,0
118,143,19,1,1,Pullup Jump shot,-1.0,0.467,0
129,228,26,0,1,Jump Shot,-1.0,0.409,0
131,221,26,0,1,Jump Shot,-1.0,0.387,0
11,8,1,1,1,Driving Layup Shot,-2.0,0.461,0
-97,243,26,1,1,Pullup Jump shot,3.0,0.35,0
33,73,8,1,1,Floating Jump shot,1.0,0.533,0
11,15,2,1,1,Cutting Layup Shot,-2.0,0.552,0
96,24,10,1,1,Floating Jump shot,0.0,0.52,0
98,5,10,0,1,Floating Jump shot,2.0,0.52,0
-178,166,24,0,1,Jump Shot,-1.0,0.311,0
23,15,3,1,1,Driving Finger Roll Layup Shot,-2.0,0.46,0
55,205,21,0,1,Jump Shot,-4.0,0.465,0
-153,215,26,1,1,Step Back Jump shot,-5.0,0.35,0
4,85,9,0,1,Jump Shot,-8.0,0.46,0
-4,3,1,1,1,Layup Shot,7.0,0.52,0
9,7,1,1,1,Dunk Shot,-7.0,0.696,0
228,53,0,1,1,Pullup Jump shot,6.0,0.418,0
-15,3,2,1,1,Driving Layup Shot,5.0,0.52,0
119,34,12,0,1,Floating Jump shot,-8.0,0.46,0
-11,-2,1,1,1,Running Reverse Layup Shot,6.0,0.52,0
15,5,2,1,1,Driving Layup Shot,-5.0,0.52,0
9,209,21,1,1,Step Back Jump shot,-4.0,0.465,0
233,36,24,0,1,Jump Shot,4.0,0.418,0
5,13,1,0,1,Layup Shot,-2.0,0.408,0
235,19,24,0,1,Jump Shot,-2.0,0.351,0
-6,29,3,1,1,Driving Finger Roll Layup Shot,-2.0,0.467,0
-58,81,10,0,1,Floating Jump shot,1.0,0.439,0
-158,193,25,0,1,Jump Shot,-1.0,0.387,0
1,32,3,1,1,Driving Hook Shot,1.0,0.461,0
-192,32,19,1,1,Jump Shot,-1.0,0.465,0
-22,262,26,0,1,Jump Shot,-1.0,0.35,0
-200,171,26,0,1,Jump Shot,-1.0,0.396,0
-74,153,17,0,1,Pullup Jump shot,1.0,0.461,0
107,59,12,0,1,Fadeaway Jump Shot,-1.0,0.526,0
-230,7,0,0,1,Jump Shot,1.0,0.295,0
-202,135,24,0,1,Step Back Jump shot,-1.0,0.387,1
62,23,7,0,1,Driving Layup Shot,1.0,0.461,1
21,29,4,0,1,Driving Layup Shot,1.0,0.461,1
232,33,0,0,1,Jump Shot,-1.0,0.339,1
-141,62,15,1,1,Fadeaway Jump Shot,1.0,0.526,1
11,10,1,1,1,Driving Finger Roll Layup Shot,1.0,0.46,1
192,169,26,1,1,Jump Shot,-3.0,0.363,1
75,96,12,0,1,Pullup Jump shot,1.0,0.46,1
-2,9,1,1,1,Running Dunk Shot,-4.0,0.526,1
-146,134,20,0,1,Turnaround Jump Shot,5.0,0.467,1
123,232,26,0,1,Jump Shot,5.0,0.396,1
-233,6,0,0,1,Jump Shot,5.0,0.339,1
172,187,25,1,1,Jump Shot,4.0,0.387,1
102,242,26,0,1,Jump Shot,3.0,0.35,1
238,20,24,0,1,Jump Shot,6.0,0.339,0
12,5,1,1,1,Putback Layup Shot,-6.0,0.46,0
